period_start,period_end,pair_name,best_entry_time,best_entry_call_price,best_entry_put_price,best_entry_combined_price,minutes_to_end_at_entry,best_exit_time,best_exit_call_price,best_exit_put_price,best_exit_combined_price,minutes_to_end_at_exit,profit,profit_pct,holding_period_seconds
2025-12-18 14:45:00,2025-12-18 15:00:00,BTC_CALL+XRP_PUT,2025-12-18 14:51:19,0.81,0.26,1.07,8.67,2025-12-18 14:52:58,0.91,0.2,1.11,7.03,0.04,3.74,98
2025-12-18 14:45:00,2025-12-18 15:00:00,ETH_CALL+BTC_PUT,2025-12-18 14:52:46,0.84,0.11,0.95,7.22,2025-12-18 14:53:23,0.92,0.06,0.98,6.62,0.03,3.16,36
2025-12-18 14:45:00,2025-12-18 15:00:00,ETH_CALL+ETH_PUT,2025-12-18 14:51:15,0.79,0.22,1.01,8.74,2025-12-18 14:51:21,0.78,0.21,0.99,8.64,-0.02,-1.98,6
2025-12-18 14:45:00,2025-12-18 15:00:00,ETH_CALL+SOL_PUT,2025-12-18 14:53:07,0.84,0.09,0.9299999999999999,6.88,2025-12-18 14:55:39,0.98,0.03,1.01,4.34,0.08,8.6,152
2025-12-18 14:45:00,2025-12-18 15:00:00,ETH_CALL+XRP_PUT,2025-12-18 14:51:17,0.78,0.26,1.04,8.7,2025-12-18 14:51:41,0.85,0.23,1.08,8.3,0.04,3.85,24
2025-12-18 14:45:00,2025-12-18 15:00:00,SOL_CALL+BTC_PUT,2025-12-18 14:51:13,0.79,0.18,0.97,8.77,2025-12-18 14:52:01,0.84,0.19,1.03,7.97,0.06,6.19,48
2025-12-18 14:45:00,2025-12-18 15:00:00,SOL_CALL+ETH_PUT,2025-12-18 14:51:41,0.85,0.15,1.0,8.3,2025-12-18 14:52:01,0.84,0.23,1.07,7.97,0.07,7.0,20
2025-12-18 14:45:00,2025-12-18 15:00:00,SOL_CALL+SOL_PUT,2025-12-18 14:51:37,0.85,0.16,1.01,8.37,2025-12-18 14:51:38,0.84,0.15,0.99,8.35,-0.02,-1.98,1
2025-12-18 14:45:00,2025-12-18 15:00:00,SOL_CALL+XRP_PUT,2025-12-18 14:51:16,0.79,0.26,1.05,8.72,2025-12-18 14:52:59,0.9,0.2,1.1,7.02,0.05,4.76,102
2025-12-18 14:45:00,2025-12-18 15:00:00,XRP_CALL+BTC_PUT,2025-12-18 14:52:58,0.8,0.09,0.89,7.03,2025-12-18 14:56:26,0.98,0.0,0.98,3.56,0.09,10.11,209
2025-12-18 14:45:00,2025-12-18 15:00:00,XRP_CALL+ETH_PUT,2025-12-18 14:51:41,0.77,0.15,0.92,8.3,2025-12-18 14:56:26,0.98,0.01,0.99,3.56,0.07,7.61,285
2025-12-18 14:45:00,2025-12-18 15:00:00,XRP_CALL+SOL_PUT,2025-12-18 14:52:59,0.8,0.1,0.9,7.02,2025-12-18 14:57:04,0.98,0.01,0.99,2.92,0.09,10.0,246
2025-12-18 14:45:00,2025-12-18 15:00:00,XRP_CALL+XRP_PUT,2025-12-18 14:53:22,0.9,0.11,1.01,6.63,2025-12-18 14:53:23,0.89,0.1,0.99,6.62,-0.02,-1.98,1
2025-12-18 15:00:00,2025-12-18 15:15:00,BTC_CALL+BTC_PUT,2025-12-18 15:00:01,0.49,0.52,1.01,14.97,2025-12-18 15:00:02,0.45,0.54,0.99,14.96,-0.02,-1.98,1
2025-12-18 15:00:00,2025-12-18 15:15:00,BTC_CALL+ETH_PUT,2025-12-18 15:00:02,0.46,0.54,1.0,14.96,2025-12-18 15:01:47,0.55,0.63,1.1800000000000002,13.2,0.18,18.0,105
2025-12-18 15:00:00,2025-12-18 15:15:00,BTC_CALL+SOL_PUT,2025-12-18 15:12:15,0.12,0.16,0.28,2.74,2025-12-18 15:14:24,0.0,0.72,0.72,0.6,0.44,157.14,128
2025-12-18 15:00:00,2025-12-18 15:15:00,BTC_CALL+XRP_PUT,2025-12-18 15:11:44,0.28,0.48,0.76,3.26,2025-12-18 15:13:00,0.1,0.9,1.0,1.98,0.24,31.58,76
2025-12-18 15:00:00,2025-12-18 15:15:00,ETH_CALL+BTC_PUT,2025-12-18 15:01:47,0.37,0.45,0.8200000000000001,13.2,2025-12-18 15:12:00,0.35,0.75,1.1,2.99,0.28,34.15,613
2025-12-18 15:00:00,2025-12-18 15:15:00,ETH_CALL+ETH_PUT,2025-12-18 15:00:02,0.47,0.54,1.01,14.96,2025-12-18 15:00:05,0.48,0.51,0.99,14.91,-0.02,-1.98,3
2025-12-18 15:00:00,2025-12-18 15:15:00,ETH_CALL+SOL_PUT,2025-12-18 15:12:13,0.17,0.16,0.33,2.77,2025-12-18 15:14:24,0.0,0.72,0.72,0.6,0.39,118.18,130
2025-12-18 15:00:00,2025-12-18 15:15:00,ETH_CALL+XRP_PUT,2025-12-18 15:04:03,0.3,0.52,0.8200000000000001,10.95,2025-12-18 15:10:02,0.74,0.33,1.07,4.96,0.25,30.49,359
2025-12-18 15:00:00,2025-12-18 15:15:00,SOL_CALL+BTC_PUT,2025-12-18 15:01:47,0.39,0.45,0.8400000000000001,13.2,2025-12-18 15:12:15,0.84,0.88,1.72,2.74,0.88,104.76,628
2025-12-18 15:00:00,2025-12-18 15:15:00,SOL_CALL+ETH_PUT,2025-12-18 15:01:49,0.38,0.58,0.96,13.17,2025-12-18 15:12:13,0.84,0.83,1.67,2.77,0.71,73.96,624
